temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,EONY Preds
280.5555555555555,0.1,0.2,1.42,0.01,0.26,0.2,18.66558099101795,10.74807548146541,P,21.11111111111111,257,Plotter,CTY,P1,CTY-P1,USA Surveillance,USA,4.63e+18,55985489721.88634,,low,,421.04,YES,NO,PWR,28.250187562807124
280.5555555555555,0.1,0.2,1.42,0.01,0.26,0.2,19.19033169817029,10.81193379722215,P,22.77777777777778,258,Plotter,CTY,P1,CTY-P1,USA Surveillance,USA,1.55e+19,64853556485.35567,,low,,421.04,YES,NO,PWR,46.55828247088186
280.5555555555555,0.12,0.2,1.46,0.013,0.22,0.2,18.66558099101795,10.74807548146541,P,30.0,262,Plotter,CTY,P3,CTY-P3,USA Surveillance,USA,4.63e+18,55985489721.88634,,low,,,NO,NO,PWR,31.617444561436635
280.5555555555555,0.205,0.044,1.304,0.018,0.325,0.047,19.35793484700045,10.83679676329642,W,62.77777777777778,268,Plotter,CTY,W1,CTY-W1,USA Surveillance,USA,2.28e+19,68674698795.18071,,low,,481.254,YES,NO,PWR,69.25577775854842
292.7777777777778,0.02,0.81,0.63,0.011,0.27,0.22,19.10720996964787,11.08726527900846,F,20.55555555555556,276,Plotter,DB1,F2,DB1-F2,USA Surveillance,USA,1.28e+19,122254619696.4418,,low,,,NO,NO,PWR,19.587758945942838
291.1111111111111,0.14,0.5,1.42,0.01,0.19,0.22,18.23299611039215,10.71641314518823,P,16.42777777777778,279,Plotter,DB1,P1,DB1-P1,USA Surveillance,USA,1.71e+18,52049090510.62897,,low,,,NO,NO,PWR,27.01490048540035
292.2222222222222,0.12,0.5,1.35,0.01,0.23,0.22,18.22530928172586,10.70946933549171,P,24.69444444444444,280,Plotter,DB1,P2,DB1-P2,USA Surveillance,USA,1.68e+18,51223510127.61971,,low,,,NO,NO,PWR,22.859209750139765
291.1111111111111,0.17,0.64,1.478,0.011,0.225,0.217,18.23299611039215,10.71641314518823,SRM,30.58888888888889,283,Plotter,DB1,SRM2,DB1-SRM2,USA Surveillance,USA,1.71e+18,52049090510.62897,,low,,,NO,NO,PWR,25.87300587755826
292.7777777777778,0.22,0.63,1.705,0.014,0.422,0.089,18.29225607135648,10.78484929265919,W,59.44444444444444,286,Plotter,DB1,W1,DB1-W1,USA Surveillance,USA,1.96e+18,60932541458.99862,,low,,,NO,NO,PWR,54.630069222429945
292.2222222222222,0.22,0.63,1.705,0.014,0.422,0.089,18.98317507203781,10.7479719628258,W,78.88888888888889,289,Plotter,DB1,W1,DB1-W1,USA Surveillance,USA,9.62e+18,55972146584.18629,,low,,,NO,NO,PWR,69.91922699677087
292.7777777777778,0.22,0.63,1.705,0.014,0.422,0.089,19.06445798922692,10.67022883625214,W,119.1444444444444,290,Plotter,DB1,W1,DB1-W1,USA Surveillance,USA,1.16e+19,46798166286.4719,,low,,,NO,NO,PWR,72.10154766168932
291.1111111111111,0.16,0.18,1.05,0.014,0.2,0.15,19.05690485133647,10.80955971463527,W,28.58888888888889,296,Plotter,DB1,W6,DB1-W6,USA Surveillance,USA,1.14e+19,64500000000.0,,low,,,NO,NO,PWR,42.72680803703763
282.7777777777778,0.081,0.481,1.445,0.01,0.225,0.235,19.13353890837022,10.47878928346301,P,17.54444444444444,302,Plotter,DC1,P1,DC1-P1,USA Surveillance,USA,1.36e+19,30115444900.78201,,low,,432,YES,NO,PWR,41.03982183451375
284.4444444444445,0.17,0.64,1.478,0.011,0.225,0.217,18.45178643552429,10.85606981558087,SRM,36.11111111111111,303,Plotter,DC1,SRM2,DC1-SRM2,USA Surveillance,USA,2.83e+18,71790969051.24303,,low,,,NO,NO,PWR,32.861513478701006
